,scaffold length (bp),NG (X),Species
54,25180761,55,Dyak.GCF_016746365
55,25180761,56,Dyak.GCF_016746365
56,25180761,57,Dyak.GCF_016746365
57,25180761,58,Dyak.GCF_016746365
58,24674056,59,Dyak.GCF_016746365
59,24674056,60,Dyak.GCF_016746365
60,24674056,61,Dyak.GCF_016746365
61,24674056,62,Dyak.GCF_016746365
62,24674056,63,Dyak.GCF_016746365
63,24674056,64,Dyak.GCF_016746365
64,24674056,65,Dyak.GCF_016746365
65,24674056,66,Dyak.GCF_016746365
66,24674056,67,Dyak.GCF_016746365
67,24674056,68,Dyak.GCF_016746365
68,24674056,69,Dyak.GCF_016746365
69,24674056,70,Dyak.GCF_016746365
70,24674056,71,Dyak.GCF_016746365
71,24674056,72,Dyak.GCF_016746365
72,24674056,73,Dyak.GCF_016746365
73,24674056,74,Dyak.GCF_016746365
74,24674056,75,Dyak.GCF_016746365
75,23815334,76,Dyak.GCF_016746365
76,23815334,77,Dyak.GCF_016746365
77,23815334,78,Dyak.GCF_016746365
78,23815334,79,Dyak.GCF_016746365
79,23815334,80,Dyak.GCF_016746365
80,23815334,81,Dyak.GCF_016746365
81,23815334,82,Dyak.GCF_016746365
82,23815334,83,Dyak.GCF_016746365
83,23815334,84,Dyak.GCF_016746365
84,23815334,85,Dyak.GCF_016746365
85,23815334,86,Dyak.GCF_016746365
86,23815334,87,Dyak.GCF_016746365
87,23815334,88,Dyak.GCF_016746365
88,23815334,89,Dyak.GCF_016746365
89,23815334,90,Dyak.GCF_016746365
90,23815334,91,Dyak.GCF_016746365
91,1889104,92,Dyak.GCF_016746365
92,1888708,93,Dyak.GCF_016746365
93,1888708,94,Dyak.GCF_016746365
94,1442517,95,Dyak.GCF_016746365
95,1429802,96,Dyak.GCF_016746365
96,802955,97,Dyak.GCF_016746365
97,535877,98,Dyak.GCF_016746365
98,151304,99,Dyak.GCF_016746365
99,5686,100,Dyak.GCF_016746365
0,29038104,1,Dsan.GCF_016746245
1,29038104,2,Dsan.GCF_016746245
2,29038104,3,Dsan.GCF_016746245
3,29038104,4,Dsan.GCF_016746245
4,29038104,5,Dsan.GCF_016746245
5,29038104,6,Dsan.GCF_016746245
6,29038104,7,Dsan.GCF_016746245
7,29038104,8,Dsan.GCF_016746245
8,29038104,9,Dsan.GCF_016746245
9,29038104,10,Dsan.GCF_016746245
10,29038104,11,Dsan.GCF_016746245
11,29038104,12,Dsan.GCF_016746245
12,29038104,13,Dsan.GCF_016746245
13,29038104,14,Dsan.GCF_016746245
14,29038104,15,Dsan.GCF_016746245
15,29038104,16,Dsan.GCF_016746245
16,29038104,17,Dsan.GCF_016746245
17,29038104,18,Dsan.GCF_016746245
18,29038104,19,Dsan.GCF_016746245
19,27915280,20,Dsan.GCF_016746245
20,27915280,21,Dsan.GCF_016746245
21,27915280,22,Dsan.GCF_016746245
22,27915280,23,Dsan.GCF_016746245
23,27915280,24,Dsan.GCF_016746245
24,27915280,25,Dsan.GCF_016746245
25,27915280,26,Dsan.GCF_016746245
26,27915280,27,Dsan.GCF_016746245
27,27915280,28,Dsan.GCF_016746245
28,27915280,29,Dsan.GCF_016746245
29,27915280,30,Dsan.GCF_016746245
30,27915280,31,Dsan.GCF_016746245
31,27915280,32,Dsan.GCF_016746245
32,27915280,33,Dsan.GCF_016746245
33,27915280,34,Dsan.GCF_016746245
34,27915280,35,Dsan.GCF_016746245
35,27915280,36,Dsan.GCF_016746245
36,27915280,37,Dsan.GCF_016746245
37,27915280,38,Dsan.GCF_016746245
38,25621868,39,Dsan.GCF_016746245
39,25621868,40,Dsan.GCF_016746245
40,25621868,41,Dsan.GCF_016746245
41,25621868,42,Dsan.GCF_016746245
42,25621868,43,Dsan.GCF_016746245
43,25621868,44,Dsan.GCF_016746245
44,25621868,45,Dsan.GCF_016746245
45,25621868,46,Dsan.GCF_016746245
46,25621868,47,Dsan.GCF_016746245
47,25621868,48,Dsan.GCF_016746245
48,25621868,49,Dsan.GCF_016746245
49,25621868,50,Dsan.GCF_016746245
50,25621868,51,Dsan.GCF_016746245
51,25621868,52,Dsan.GCF_016746245
52,25621868,53,Dsan.GCF_016746245
53,25621868,54,Dsan.GCF_016746245
54,25621868,55,Dsan.GCF_016746245
55,25621868,56,Dsan.GCF_016746245
56,22646313,57,Dsan.GCF_016746245
57,22646313,58,Dsan.GCF_016746245
58,22646313,59,Dsan.GCF_016746245
59,22646313,60,Dsan.GCF_016746245
60,22646313,61,Dsan.GCF_016746245
61,22646313,62,Dsan.GCF_016746245
62,22646313,63,Dsan.GCF_016746245
63,22646313,64,Dsan.GCF_016746245
64,22646313,65,Dsan.GCF_016746245
65,22646313,66,Dsan.GCF_016746245
66,22646313,67,Dsan.GCF_016746245
67,22646313,68,Dsan.GCF_016746245
68,22646313,69,Dsan.GCF_016746245
69,22646313,70,Dsan.GCF_016746245
70,22646313,71,Dsan.GCF_016746245
71,22631256,72,Dsan.GCF_016746245
72,22631256,73,Dsan.GCF_016746245
73,22631256,74,Dsan.GCF_016746245
74,22631256,75,Dsan.GCF_016746245
75,22631256,76,Dsan.GCF_016746245
76,22631256,77,Dsan.GCF_016746245
77,22631256,78,Dsan.GCF_016746245
78,22631256,79,Dsan.GCF_016746245
79,22631256,80,Dsan.GCF_016746245
80,22631256,81,Dsan.GCF_016746245
81,22631256,82,Dsan.GCF_016746245
82,22631256,83,Dsan.GCF_016746245
83,22631256,84,Dsan.GCF_016746245
84,22631256,85,Dsan.GCF_016746245
85,22631256,86,Dsan.GCF_016746245
86,22631256,87,Dsan.GCF_016746245
87,1663439,88,Dsan.GCF_016746245
88,1641520,89,Dsan.GCF_016746245
89,1429326,90,Dsan.GCF_016746245
90,1400491,91,Dsan.GCF_016746245
91,1359427,92,Dsan.GCF_016746245
92,805159,93,Dsan.GCF_016746245
93,718906,94,Dsan.GCF_016746245
94,509314,95,Dsan.GCF_016746245
95,364863,96,Dsan.GCF_016746245
96,174142,97,Dsan.GCF_016746245
97,103334,98,Dsan.GCF_016746245
98,61249,99,Dsan.GCF_016746245
99,6475,100,Dsan.GCF_016746245
0,28149624,1,Dsim.GCF_016746395
1,28149624,2,Dsim.GCF_016746395
2,28149624,3,Dsim.GCF_016746395
3,28149624,4,Dsim.GCF_016746395
4,28149624,5,Dsim.GCF_016746395
5,28149624,6,Dsim.GCF_016746395
6,28149624,7,Dsim.GCF_016746395
7,28149624,8,Dsim.GCF_016746395
8,28149624,9,Dsim.GCF_016746395
9,28149624,10,Dsim.GCF_016746395
10,28149624,11,Dsim.GCF_016746395
11,28149624,12,Dsim.GCF_016746395
12,28149624,13,Dsim.GCF_016746395
13,28149624,14,Dsim.GCF_016746395
14,28149624,15,Dsim.GCF_016746395
15,28149624,16,Dsim.GCF_016746395
16,28149624,17,Dsim.GCF_016746395
17,28149624,18,Dsim.GCF_016746395
18,28149624,19,Dsim.GCF_016746395
19,28149624,20,Dsim.GCF_016746395
20,28149624,21,Dsim.GCF_016746395
21,23857432,22,Dsim.GCF_016746395
22,23857432,23,Dsim.GCF_016746395
23,23857432,24,Dsim.GCF_016746395
24,23857432,25,Dsim.GCF_016746395
25,23857432,26,Dsim.GCF_016746395
26,23857432,27,Dsim.GCF_016746395
27,23857432,28,Dsim.GCF_016746395
28,23857432,29,Dsim.GCF_016746395
29,23857432,30,Dsim.GCF_016746395
30,23857432,31,Dsim.GCF_016746395
31,23857432,32,Dsim.GCF_016746395
32,23857432,33,Dsim.GCF_016746395
33,23857432,34,Dsim.GCF_016746395
34,23857432,35,Dsim.GCF_016746395
35,23857432,36,Dsim.GCF_016746395
36,23857432,37,Dsim.GCF_016746395
37,23857432,38,Dsim.GCF_016746395
38,23857432,39,Dsim.GCF_016746395
39,23399919,40,Dsim.GCF_016746395
40,23399919,41,Dsim.GCF_016746395
41,23399919,42,Dsim.GCF_016746395
42,23399919,43,Dsim.GCF_016746395
43,23399919,44,Dsim.GCF_016746395
44,23399919,45,Dsim.GCF_016746395
45,23399919,46,Dsim.GCF_016746395
46,23399919,47,Dsim.GCF_016746395
47,23399919,48,Dsim.GCF_016746395
48,23399919,49,Dsim.GCF_016746395
49,23399919,50,Dsim.GCF_016746395
50,23399919,51,Dsim.GCF_016746395
51,23399919,52,Dsim.GCF_016746395
52,23399919,53,Dsim.GCF_016746395
53,23399919,54,Dsim.GCF_016746395
54,23399919,55,Dsim.GCF_016746395
55,23399919,56,Dsim.GCF_016746395
56,23399919,57,Dsim.GCF_016746395
57,22319038,58,Dsim.GCF_016746395
58,22319038,59,Dsim.GCF_016746395
59,22319038,60,Dsim.GCF_016746395
60,22319038,61,Dsim.GCF_016746395
61,22319038,62,Dsim.GCF_016746395
62,22319038,63,Dsim.GCF_016746395
63,22319038,64,Dsim.GCF_016746395
64,22319038,65,Dsim.GCF_016746395
65,22319038,66,Dsim.GCF_016746395
66,22319038,67,Dsim.GCF_016746395
67,22319038,68,Dsim.GCF_016746395
68,22319038,69,Dsim.GCF_016746395
69,22319038,70,Dsim.GCF_016746395
70,22319038,71,Dsim.GCF_016746395
71,22319038,72,Dsim.GCF_016746395
72,22319038,73,Dsim.GCF_016746395
73,22319038,74,Dsim.GCF_016746395
74,22032836,75,Dsim.GCF_016746395
75,22032836,76,Dsim.GCF_016746395
76,22032836,77,Dsim.GCF_016746395
77,22032836,78,Dsim.GCF_016746395
78,22032836,79,Dsim.GCF_016746395
79,22032836,80,Dsim.GCF_016746395
80,22032836,81,Dsim.GCF_016746395
81,22032836,82,Dsim.GCF_016746395
82,22032836,83,Dsim.GCF_016746395
83,22032836,84,Dsim.GCF_016746395
84,22032836,85,Dsim.GCF_016746395
85,22032836,86,Dsim.GCF_016746395
86,22032836,87,Dsim.GCF_016746395
87,22032836,88,Dsim.GCF_016746395
88,22032836,89,Dsim.GCF_016746395
89,22032836,90,Dsim.GCF_016746395
90,1685561,91,Dsim.GCF_016746395
91,1685561,92,Dsim.GCF_016746395
92,1146871,93,Dsim.GCF_016746395
93,679182,94,Dsim.GCF_016746395
94,395195,95,Dsim.GCF_016746395
95,295695,96,Dsim.GCF_016746395
96,182407,97,Dsim.GCF_016746395
97,109188,98,Dsim.GCF_016746395
98,58972,99,Dsim.GCF_016746395
99,4926,100,Dsim.GCF_016746395
0,28872862,1,Dmau.GCF_004382145
1,28872862,2,Dmau.GCF_004382145
2,28872862,3,Dmau.GCF_004382145
3,28872862,4,Dmau.GCF_004382145
4,28872862,5,Dmau.GCF_004382145
5,28872862,6,Dmau.GCF_004382145
6,28872862,7,Dmau.GCF_004382145
7,28872862,8,Dmau.GCF_004382145
8,28872862,9,Dmau.GCF_004382145
9,28872862,10,Dmau.GCF_004382145
10,28872862,11,Dmau.GCF_004382145
11,28872862,12,Dmau.GCF_004382145
12,28872862,13,Dmau.GCF_004382145
13,28872862,14,Dmau.GCF_004382145
14,28872862,15,Dmau.GCF_004382145
15,28872862,16,Dmau.GCF_004382145
16,28872862,17,Dmau.GCF_004382145
17,28872862,18,Dmau.GCF_004382145
18,26143691,19,Dmau.GCF_004382145
19,26143691,20,Dmau.GCF_004382145
20,26143691,21,Dmau.GCF_004382145
21,26143691,22,Dmau.GCF_004382145
22,26143691,23,Dmau.GCF_004382145
23,26143691,24,Dmau.GCF_004382145
24,26143691,25,Dmau.GCF_004382145
25,26143691,26,Dmau.GCF_004382145
26,26143691,27,Dmau.GCF_004382145
27,26143691,28,Dmau.GCF_004382145
28,26143691,29,Dmau.GCF_004382145
29,26143691,30,Dmau.GCF_004382145
30,26143691,31,Dmau.GCF_004382145
31,26143691,32,Dmau.GCF_004382145
32,26143691,33,Dmau.GCF_004382145
33,26143691,34,Dmau.GCF_004382145
34,26143691,35,Dmau.GCF_004382145
35,26143691,36,Dmau.GCF_004382145
36,24228064,37,Dmau.GCF_004382145
37,24228064,38,Dmau.GCF_004382145
38,24228064,39,Dmau.GCF_004382145
39,24228064,40,Dmau.GCF_004382145
40,24228064,41,Dmau.GCF_004382145
41,24228064,42,Dmau.GCF_004382145
42,24228064,43,Dmau.GCF_004382145
43,24228064,44,Dmau.GCF_004382145
44,24228064,45,Dmau.GCF_004382145
45,24228064,46,Dmau.GCF_004382145
46,24228064,47,Dmau.GCF_004382145
47,24228064,48,Dmau.GCF_004382145
48,24228064,49,Dmau.GCF_004382145
49,24228064,50,Dmau.GCF_004382145
50,24228064,51,Dmau.GCF_004382145
51,24228064,52,Dmau.GCF_004382145
52,23535060,53,Dmau.GCF_004382145
53,23535060,54,Dmau.GCF_004382145
54,23535060,55,Dmau.GCF_004382145
55,23535060,56,Dmau.GCF_004382145
56,23535060,57,Dmau.GCF_004382145
57,23535060,58,Dmau.GCF_004382145
58,23535060,59,Dmau.GCF_004382145
59,23535060,60,Dmau.GCF_004382145
60,23535060,61,Dmau.GCF_004382145
61,23535060,62,Dmau.GCF_004382145
62,23535060,63,Dmau.GCF_004382145
63,23535060,64,Dmau.GCF_004382145
64,23535060,65,Dmau.GCF_004382145
65,23535060,66,Dmau.GCF_004382145
66,23535060,67,Dmau.GCF_004382145
67,23222241,68,Dmau.GCF_004382145
68,23222241,69,Dmau.GCF_004382145
69,23222241,70,Dmau.GCF_004382145
70,23222241,71,Dmau.GCF_004382145
71,23222241,72,Dmau.GCF_004382145
72,23222241,73,Dmau.GCF_004382145
73,23222241,74,Dmau.GCF_004382145
74,23222241,75,Dmau.GCF_004382145
75,23222241,76,Dmau.GCF_004382145
76,23222241,77,Dmau.GCF_004382145
77,23222241,78,Dmau.GCF_004382145
78,23222241,79,Dmau.GCF_004382145
79,23222241,80,Dmau.GCF_004382145
80,23222241,81,Dmau.GCF_004382145
81,23222241,82,Dmau.GCF_004382145
82,1240992,83,Dmau.GCF_004382145
83,1160600,84,Dmau.GCF_004382145
84,519303,85,Dmau.GCF_004382145
85,392239,86,Dmau.GCF_004382145
86,359668,87,Dmau.GCF_004382145
87,254278,88,Dmau.GCF_004382145
88,200269,89,Dmau.GCF_004382145
89,170969,90,Dmau.GCF_004382145
90,126785,91,Dmau.GCF_004382145
91,92092,92,Dmau.GCF_004382145
92,82594,93,Dmau.GCF_004382145
93,67954,94,Dmau.GCF_004382145
94,56353,95,Dmau.GCF_004382145
95,45171,96,Dmau.GCF_004382145
96,37670,97,Dmau.GCF_004382145
97,31331,98,Dmau.GCF_004382145
98,26386,99,Dmau.GCF_004382145
99,14964,100,Dmau.GCF_004382145
0,32079331,1,Dmel.dm6
1,32079331,2,Dmel.dm6
2,32079331,3,Dmel.dm6
3,32079331,4,Dmel.dm6
4,32079331,5,Dmel.dm6
5,32079331,6,Dmel.dm6
6,32079331,7,Dmel.dm6
7,32079331,8,Dmel.dm6
8,32079331,9,Dmel.dm6
9,32079331,10,Dmel.dm6
10,32079331,11,Dmel.dm6
11,32079331,12,Dmel.dm6
12,32079331,13,Dmel.dm6
13,32079331,14,Dmel.dm6
14,32079331,15,Dmel.dm6
15,32079331,16,Dmel.dm6
16,32079331,17,Dmel.dm6
17,32079331,18,Dmel.dm6
18,32079331,19,Dmel.dm6
19,32079331,20,Dmel.dm6
20,32079331,21,Dmel.dm6
21,32079331,22,Dmel.dm6
22,28110227,23,Dmel.dm6
23,28110227,24,Dmel.dm6
24,28110227,25,Dmel.dm6
25,28110227,26,Dmel.dm6
26,28110227,27,Dmel.dm6
27,28110227,28,Dmel.dm6
28,28110227,29,Dmel.dm6
29,28110227,30,Dmel.dm6
30,28110227,31,Dmel.dm6
31,28110227,32,Dmel.dm6
32,28110227,33,Dmel.dm6
33,28110227,34,Dmel.dm6
34,28110227,35,Dmel.dm6
35,28110227,36,Dmel.dm6
36,28110227,37,Dmel.dm6
37,28110227,38,Dmel.dm6
38,28110227,39,Dmel.dm6
39,28110227,40,Dmel.dm6
40,28110227,41,Dmel.dm6
41,25286936,42,Dmel.dm6
42,25286936,43,Dmel.dm6
43,25286936,44,Dmel.dm6
44,25286936,45,Dmel.dm6
45,25286936,46,Dmel.dm6
46,25286936,47,Dmel.dm6
47,25286936,48,Dmel.dm6
48,25286936,49,Dmel.dm6
49,25286936,50,Dmel.dm6
50,25286936,51,Dmel.dm6
51,25286936,52,Dmel.dm6
52,25286936,53,Dmel.dm6
53,25286936,54,Dmel.dm6
54,25286936,55,Dmel.dm6
55,25286936,56,Dmel.dm6
56,25286936,57,Dmel.dm6
57,25286936,58,Dmel.dm6
58,25286936,59,Dmel.dm6
59,23542271,60,Dmel.dm6
60,23542271,61,Dmel.dm6
61,23542271,62,Dmel.dm6
62,23542271,63,Dmel.dm6
63,23542271,64,Dmel.dm6
64,23542271,65,Dmel.dm6
65,23542271,66,Dmel.dm6
66,23542271,67,Dmel.dm6
67,23542271,68,Dmel.dm6
68,23542271,69,Dmel.dm6
69,23542271,70,Dmel.dm6
70,23542271,71,Dmel.dm6
71,23542271,72,Dmel.dm6
72,23542271,73,Dmel.dm6
73,23542271,74,Dmel.dm6
74,23542271,75,Dmel.dm6
75,23513712,76,Dmel.dm6
76,23513712,77,Dmel.dm6
77,23513712,78,Dmel.dm6
78,23513712,79,Dmel.dm6
79,23513712,80,Dmel.dm6
80,23513712,81,Dmel.dm6
81,23513712,82,Dmel.dm6
82,23513712,83,Dmel.dm6
83,23513712,84,Dmel.dm6
84,23513712,85,Dmel.dm6
85,23513712,86,Dmel.dm6
86,23513712,87,Dmel.dm6
87,23513712,88,Dmel.dm6
88,23513712,89,Dmel.dm6
89,23513712,90,Dmel.dm6
90,23513712,91,Dmel.dm6
91,23513712,92,Dmel.dm6
92,3667352,93,Dmel.dm6
93,3667352,94,Dmel.dm6
94,1348131,95,Dmel.dm6
95,73091,96,Dmel.dm6
96,19524,97,Dmel.dm6
97,4085,98,Dmel.dm6
98,1962,99,Dmel.dm6
99,544,100,Dmel.dm6
0,29674291,1,Dsubp.GCF_014743375
1,29674291,2,Dsubp.GCF_014743375
2,29674291,3,Dsubp.GCF_014743375
3,29674291,4,Dsubp.GCF_014743375
4,29674291,5,Dsubp.GCF_014743375
5,29674291,6,Dsubp.GCF_014743375
6,29674291,7,Dsubp.GCF_014743375
7,29674291,8,Dsubp.GCF_014743375
8,29674291,9,Dsubp.GCF_014743375
9,29674291,10,Dsubp.GCF_014743375
10,29674291,11,Dsubp.GCF_014743375
11,29495227,12,Dsubp.GCF_014743375
12,29495227,13,Dsubp.GCF_014743375
13,29495227,14,Dsubp.GCF_014743375
14,29495227,15,Dsubp.GCF_014743375
15,29495227,16,Dsubp.GCF_014743375
16,29495227,17,Dsubp.GCF_014743375
17,29495227,18,Dsubp.GCF_014743375
18,29495227,19,Dsubp.GCF_014743375
19,29495227,20,Dsubp.GCF_014743375
20,29495227,21,Dsubp.GCF_014743375
21,29495227,22,Dsubp.GCF_014743375
22,26214193,23,Dsubp.GCF_014743375
23,26214193,24,Dsubp.GCF_014743375
24,26214193,25,Dsubp.GCF_014743375
25,26214193,26,Dsubp.GCF_014743375
26,26214193,27,Dsubp.GCF_014743375
27,26214193,28,Dsubp.GCF_014743375
28,26214193,29,Dsubp.GCF_014743375
29,26214193,30,Dsubp.GCF_014743375
30,26214193,31,Dsubp.GCF_014743375
31,26214193,32,Dsubp.GCF_014743375
32,22167719,33,Dsubp.GCF_014743375
33,22167719,34,Dsubp.GCF_014743375
34,22167719,35,Dsubp.GCF_014743375
35,22167719,36,Dsubp.GCF_014743375
36,22167719,37,Dsubp.GCF_014743375
37,22167719,38,Dsubp.GCF_014743375
38,22167719,39,Dsubp.GCF_014743375
39,22167719,40,Dsubp.GCF_014743375
40,20233744,41,Dsubp.GCF_014743375
41,20233744,42,Dsubp.GCF_014743375
42,20233744,43,Dsubp.GCF_014743375
43,20233744,44,Dsubp.GCF_014743375
44,20233744,45,Dsubp.GCF_014743375
45,20233744,46,Dsubp.GCF_014743375
46,20233744,47,Dsubp.GCF_014743375
47,20233744,48,Dsubp.GCF_014743375
48,11590999,49,Dsubp.GCF_014743375
49,11590999,50,Dsubp.GCF_014743375
50,11590999,51,Dsubp.GCF_014743375
51,11590999,52,Dsubp.GCF_014743375
52,4470117,53,Dsubp.GCF_014743375
53,4470117,54,Dsubp.GCF_014743375
54,3652792,55,Dsubp.GCF_014743375
55,3007775,56,Dsubp.GCF_014743375
56,2671406,57,Dsubp.GCF_014743375
57,2365131,58,Dsubp.GCF_014743375
58,2259897,59,Dsubp.GCF_014743375
59,2163145,60,Dsubp.GCF_014743375
60,2133783,61,Dsubp.GCF_014743375
61,2068443,62,Dsubp.GCF_014743375
62,2002767,63,Dsubp.GCF_014743375
63,1968020,64,Dsubp.GCF_014743375
64,1753883,65,Dsubp.GCF_014743375
65,1751703,66,Dsubp.GCF_014743375
66,1721480,67,Dsubp.GCF_014743375
67,1720168,68,Dsubp.GCF_014743375
68,1666615,69,Dsubp.GCF_014743375
69,1624972,70,Dsubp.GCF_014743375
70,1569473,71,Dsubp.GCF_014743375
71,1502553,72,Dsubp.GCF_014743375
72,1454806,73,Dsubp.GCF_014743375
73,1375373,74,Dsubp.GCF_014743375
74,1373467,75,Dsubp.GCF_014743375
75,1324034,76,Dsubp.GCF_014743375
76,1285007,77,Dsubp.GCF_014743375
77,1180026,78,Dsubp.GCF_014743375
78,1169767,79,Dsubp.GCF_014743375
79,1162743,80,Dsubp.GCF_014743375
80,1059327,81,Dsubp.GCF_014743375
81,927418,82,Dsubp.GCF_014743375
82,910584,83,Dsubp.GCF_014743375
83,868983,84,Dsubp.GCF_014743375
84,761301,85,Dsubp.GCF_014743375
85,736751,86,Dsubp.GCF_014743375
86,691763,87,Dsubp.GCF_014743375
87,630835,88,Dsubp.GCF_014743375
88,565706,89,Dsubp.GCF_014743375
89,516459,90,Dsubp.GCF_014743375
90,474131,91,Dsubp.GCF_014743375
91,421828,92,Dsubp.GCF_014743375
92,371248,93,Dsubp.GCF_014743375
93,333371,94,Dsubp.GCF_014743375
94,251684,95,Dsubp.GCF_014743375
95,152974,96,Dsubp.GCF_014743375
96,108384,97,Dsubp.GCF_014743375
97,84770,98,Dsubp.GCF_014743375
98,64089,99,Dsubp.GCF_014743375
99,1597,100,Dsubp.GCF_014743375
0,29722443,1,Dbia.GCF_018148935
1,29722443,2,Dbia.GCF_018148935
2,29722443,3,Dbia.GCF_018148935
3,29722443,4,Dbia.GCF_018148935
4,29722443,5,Dbia.GCF_018148935
5,29722443,6,Dbia.GCF_018148935
6,29722443,7,Dbia.GCF_018148935
7,29722443,8,Dbia.GCF_018148935
8,29722443,9,Dbia.GCF_018148935
9,29722443,10,Dbia.GCF_018148935
10,29722443,11,Dbia.GCF_018148935
11,29722443,12,Dbia.GCF_018148935
12,29722443,13,Dbia.GCF_018148935
13,29722443,14,Dbia.GCF_018148935
14,29722443,15,Dbia.GCF_018148935
15,29722443,16,Dbia.GCF_018148935
16,26062673,17,Dbia.GCF_018148935
17,26062673,18,Dbia.GCF_018148935
18,26062673,19,Dbia.GCF_018148935
19,26062673,20,Dbia.GCF_018148935
20,26062673,21,Dbia.GCF_018148935
21,26062673,22,Dbia.GCF_018148935
22,26062673,23,Dbia.GCF_018148935
23,26062673,24,Dbia.GCF_018148935
24,26062673,25,Dbia.GCF_018148935
25,26062673,26,Dbia.GCF_018148935
26,26062673,27,Dbia.GCF_018148935
27,26062673,28,Dbia.GCF_018148935
28,26062673,29,Dbia.GCF_018148935
29,26062673,30,Dbia.GCF_018148935
30,24655300,31,Dbia.GCF_018148935
31,24655300,32,Dbia.GCF_018148935
32,24655300,33,Dbia.GCF_018148935
33,24655300,34,Dbia.GCF_018148935
34,24655300,35,Dbia.GCF_018148935
35,24655300,36,Dbia.GCF_018148935
36,24655300,37,Dbia.GCF_018148935
37,24655300,38,Dbia.GCF_018148935
38,24655300,39,Dbia.GCF_018148935
39,24655300,40,Dbia.GCF_018148935
40,24655300,41,Dbia.GCF_018148935
41,24655300,42,Dbia.GCF_018148935
42,24655300,43,Dbia.GCF_018148935
43,23381765,44,Dbia.GCF_018148935
44,23381765,45,Dbia.GCF_018148935
45,23381765,46,Dbia.GCF_018148935
46,23381765,47,Dbia.GCF_018148935
47,23381765,48,Dbia.GCF_018148935
48,23381765,49,Dbia.GCF_018148935
49,23381765,50,Dbia.GCF_018148935
50,23381765,51,Dbia.GCF_018148935
51,23381765,52,Dbia.GCF_018148935
52,23381765,53,Dbia.GCF_018148935
53,23381765,54,Dbia.GCF_018148935
54,23381765,55,Dbia.GCF_018148935
55,23381765,56,Dbia.GCF_018148935
56,20916388,57,Dbia.GCF_018148935
57,20916388,58,Dbia.GCF_018148935
58,20916388,59,Dbia.GCF_018148935
59,20916388,60,Dbia.GCF_018148935
60,20916388,61,Dbia.GCF_018148935
61,20916388,62,Dbia.GCF_018148935
62,20916388,63,Dbia.GCF_018148935
63,20916388,64,Dbia.GCF_018148935
64,20916388,65,Dbia.GCF_018148935
65,20916388,66,Dbia.GCF_018148935
66,20916388,67,Dbia.GCF_018148935
67,4490089,68,Dbia.GCF_018148935
68,4490089,69,Dbia.GCF_018148935
69,2751594,70,Dbia.GCF_018148935
70,2751594,71,Dbia.GCF_018148935
71,2426037,72,Dbia.GCF_018148935
72,2197481,73,Dbia.GCF_018148935
73,2150736,74,Dbia.GCF_018148935
74,1925543,75,Dbia.GCF_018148935
75,1696273,76,Dbia.GCF_018148935
76,1684867,77,Dbia.GCF_018148935
77,1664325,78,Dbia.GCF_018148935
78,1629159,79,Dbia.GCF_018148935
79,1599212,80,Dbia.GCF_018148935
80,1554675,81,Dbia.GCF_018148935
81,1429091,82,Dbia.GCF_018148935
